pipe:4, 9

167.848 2.415 -12.374
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
179.924 179.987 179.944
179.926 179.995 179.933
179.922 -179.991 179.921
179.917 179.993 179.925
179.915 -179.993 179.923
179.911 -179.993 179.939
179.91 179.99 179.964
179.912 -179.99 179.982
179.918 -179.983 179.987
179.927 -179.959 179.982
179.943 -179.966 179.953
179.933 -179.95 179.938
179.921 -179.934 179.974
179.913 -179.927 179.961
179.911 -179.923 179.966
179.902 -179.914 179.954
179.913 -179.934 179.929
179.921 -179.937 179.906
179.918 -179.96 179.893
179.906 -179.986 179.9
179.894 -179.976 179.933
179.891 -179.965 179.939
179.891 -179.974 179.947
sumTime,angle,sumTime,angleCorrectionPower: , 5921.9 ,  -4.11 , 5921.9 , -8.41728 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5930.47 ,  -2.901 , 5930.47 , -5.94125 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5939.2 ,  -2.901 , 5939.2 , -5.94125 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5947.9 ,  -1.98801 , 5947.9 , -4.07144 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5956.71 ,  -0.460007 , 5956.71 , -0.942094 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5965.34 ,  -0.460007 , 5965.34 , -0.942094 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5974 ,  0.747 , 5974 , 1.52986 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5983.23 ,  1.565 , 5983.23 , 3.20512 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 5992.48 ,  1.565 , 5992.48 , 3.20512 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 6001.56 ,  2.286 , 6001.56 , 4.68173 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
