pipe:4, 9

60.978 74.335 -166.545
61.041 74.334 -166.497
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.551 -0.142 -0.132
0.53 -0.24 -0.225
0.595 -0.233 -0.199
0.65 -0.209 -0.187
0.71 -0.216 -0.171
0.698 -0.21 -0.168
0.68 -0.198 -0.17
0.658 -0.183 -0.183
0.642 -0.176 -0.201
0.701 -0.08 -0.096
0.601 -0.169 -0.182
0.579 -0.169 -0.172
0.539 -0.154 -0.195
0.516 -0.143 -0.195
0.488 -0.134 -0.177
0.499 -0.103 -0.175
0.522 -0.095 -0.17
0.533 -0.082 -0.174
0.531 -0.101 -0.199
0.534 -0.105 -0.216
0.552 -0.123 -0.214
0.567 -0.126 -0.222
sumTime,angle,sumTime,angleCorrectionPower: , 2589.1 ,  1.706 , 2589.1 , 1.74694 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2597.81 ,  1.706 , 2597.81 , 1.74694 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2606.49 ,  2.102 , 2606.49 , 2.15245 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2615.04 ,  2.53 , 2615.04 , 2.59072 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2623.79 ,  2.654 , 2623.79 , 2.7177 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2632.39 ,  2.654 , 2632.39 , 2.7177 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2641.34 ,  2.726 , 2641.34 , 2.79142 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2649.82 ,  1.745 , 2649.82 , 1.78688 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2658.4 ,  1.745 , 2658.4 , 1.78688 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2667.14 ,  0 , 2667.14 , 0 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2675.74 ,  -0.397995 , 2675.74 , -0.407547 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2684.41 ,  -0.397995 , 2684.41 , -0.407547 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2693.17 ,  -3.407 , 2693.17 , -3.48877 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2701.71 ,  -3.87 , 2701.71 , -3.96287 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2710.49 ,  -3.87 , 2710.49 , -3.96287 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2719.52 ,  -4.592 , 2719.52 , -4.7022 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2728.11 ,  -3.282 , 2728.11 , -3.36077 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2736.98 ,  -4.116 , 2736.98 , -4.21478 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2745.9 ,  -4.116 , 2745.9 , -4.21478 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2754.53 ,  -4.549 , 2754.53 , -4.65817 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2763.3 ,  -3.674 , 2763.3 , -3.76217 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
sumTime,angle,sumTime,angleCorrectionPower: , 2772.3 ,  -3.674 , 2772.3 , -3.76217 ,  wheelPowerCorectionFactor: , 1 , BeforeAnglePIDWheelPower: , 0 , 
