Raw Acc: , 0.107 , -0.085 , -0.991 , Grav: , -0.133 , -0.01 , 1.022 
Raw Acc: , 0.106 , -0.084 , -0.991 , Grav: , -0.129 , -0.013 , 1.013 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.135 , -0.011 , 1.011 
Raw Acc: , 0.107 , -0.085 , -0.991 , Grav: , -0.142 , -0.011 , 1.003 
Raw Acc: , 0.107 , -0.084 , -0.991 , Grav: , -0.137 , -0.002 , 1.02 
Raw Acc: , 0.106 , -0.086 , -0.991 , Grav: , -0.132 , -0.055 , 1.018 
Raw Acc: , 0.106 , -0.086 , -0.991 , Grav: , -0.14 , -0.01 , 1.012 
Raw Acc: , 0.106 , -0.086 , -0.991 , Grav: , -0.14 , -0.018 , 1.016 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.127 , -0.004 , 1.015 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.133 , -0.01 , 1.024 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.143 , -0.003 , 1.012 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.14 , -0.007 , 1.01 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.14 , -0.012 , 1.004 
Raw Acc: , 0.107 , -0.086 , -0.991 , Grav: , -0.148 , -0.012 , 1.007 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.127 , -0.011 , 1.021 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.125 , -0.015 , 1.014 
Raw Acc: , 0.106 , -0.085 , -0.991 , Grav: , -0.143 , -0.006 , 1.01 
Raw Acc: , 0.107 , -0.085 , -0.991 , Grav: , -0.141 , 0 , 1.023 
Raw Acc: , 0.107 , -0.085 , -0.991 , Grav: , -0.134 , -0.005 , 1.005 
Raw Acc: , 0.107 , -0.085 , -0.991 , Grav: , -0.126 , -0.009 , 1.001 
Raw Acc: , 0.107 , -0.085 , -0.991 , Grav: , -0.139 , -0.012 , 1.011 
Raw Acc: , 0.107 , -0.085 , -0.991 , Grav: , -0.128 , -0.007 , 1.009 
Raw Acc: , 0.109 , -0.082 , -0.991 , Grav: , -0.143 , 0.061 , 1.027 
Raw Acc: , 0.109 , -0.083 , -0.991 , Grav: , -0.15 , -0.015 , 1.007 
Raw Acc: , 0.109 , -0.083 , -0.991 , Grav: , -0.136 , -0.011 , 1.024 
Raw Acc: , 0.108 , -0.083 , -0.991 , Grav: , -0.134 , -0.012 , 1.011 
Raw Acc: , 0.108 , -0.083 , -0.991 , Grav: , -0.139 , -0.009 , 1.024 
Raw Acc: , 0.108 , -0.083 , -0.991 , Grav: , -0.145 , -0.005 , 1.045 
Raw Acc: , 0.108 , -0.082 , -0.991 , Grav: , -0.137 , -0.003 , 1.062 
Raw Acc: , 0.109 , -0.082 , -0.991 , Grav: , -0.145 , -0.004 , 1.011 
Raw Acc: , 0.108 , -0.082 , -0.991 , Grav: , -0.127 , -0.004 , 1.026 
Raw Acc: , 0.108 , -0.082 , -0.991 , Grav: , -0.122 , -0.009 , 1.023 
Raw Acc: , 0.109 , -0.079 , -0.991 , Grav: , -0.13 , 0.057 , 1.018 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.145 , -0.017 , 1.028 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.138 , -0.01 , 1.011 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.14 , 0.001 , 1.02 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.134 , -0.018 , 1.004 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.14 , -0.007 , 1.024 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.132 , -0.002 , 1.01 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.141 , -0.003 , 1.018 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.147 , -0.006 , 1.018 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.135 , -0.009 , 1.027 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.144 , -0.014 , 1.015 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.149 , -0.006 , 1.013 
Raw Acc: , 0.11 , -0.081 , -0.991 , Grav: , -0.138 , -0.003 , 1.019 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.128 , -0.007 , 1.016 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.141 , -0.009 , 1.015 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.14 , -0.01 , 1.018 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.135 , -0.006 , 1.012 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.136 , -0.007 , 1.026 
Raw Acc: , 0.109 , -0.08 , -0.991 , Grav: , -0.139 , -0.011 , 1.018 
Raw Acc: , 0.108 , -0.08 , -0.991 , Grav: , -0.127 , -0.003 , 1.037 
Raw Acc: , 0.108 , -0.08 , -0.991 , Grav: , -0.137 , -0.01 , 1.006 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.145 , -0.016 , 1.001 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.149 , -0.004 , 1.034 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.139 , -0.014 , 0.999 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.146 , -0.004 , 1.04 
Raw Acc: , 0.109 , -0.082 , -0.991 , Grav: , -0.143 , -0.009 , 1.013 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.136 , -0.012 , 1.015 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.134 , -0.002 , 1.017 
Raw Acc: , 0.109 , -0.081 , -0.991 , Grav: , -0.14 , -0.017 , 1.012 
Raw Acc: , 0.108 , -0.081 , -0.991 , Grav: , -0.133 , -0.013 , 1.032 
