Raw Acc: , 0.191 , -0.25 , -0.949 , Grav: , -0.204 , 0.25 , 0.982 
Raw Acc: , 0.191 , -0.249 , -0.949 , Grav: , -0.196 , 0.247 , 0.977 
Raw Acc: , 0.191 , -0.249 , -0.949 , Grav: , -0.195 , 0.249 , 0.966 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.208 , 0.251 , 0.962 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.203 , 0.248 , 0.967 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.198 , 0.256 , 0.975 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.203 , 0.251 , 0.974 
Raw Acc: , 0.192 , -0.246 , -0.95 , Grav: , -0.2 , 0.192 , 0.971 
Raw Acc: , 0.192 , -0.247 , -0.95 , Grav: , -0.199 , 0.265 , 0.969 
Raw Acc: , 0.193 , -0.247 , -0.95 , Grav: , -0.205 , 0.256 , 0.968 
Raw Acc: , 0.193 , -0.247 , -0.95 , Grav: , -0.202 , 0.25 , 0.97 
Raw Acc: , 0.19 , -0.247 , -0.95 , Grav: , -0.128 , 0.259 , 0.989 
Raw Acc: , 0.19 , -0.247 , -0.95 , Grav: , -0.192 , 0.261 , 0.982 
Raw Acc: , 0.19 , -0.247 , -0.95 , Grav: , -0.201 , 0.254 , 0.988 
Raw Acc: , 0.19 , -0.247 , -0.95 , Grav: , -0.206 , 0.259 , 0.969 
Raw Acc: , 0.191 , -0.246 , -0.95 , Grav: , -0.208 , 0.24 , 0.962 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.205 , 0.3 , 0.962 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.195 , 0.25 , 0.989 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.196 , 0.259 , 0.967 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.207 , 0.26 , 0.97 
Raw Acc: , 0.192 , -0.248 , -0.95 , Grav: , -0.208 , 0.259 , 0.968 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.189 , 0.245 , 0.964 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.191 , 0.253 , 0.981 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.202 , 0.26 , 0.986 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.2 , 0.259 , 0.974 
Raw Acc: , 0.191 , -0.248 , -0.95 , Grav: , -0.204 , 0.262 , 0.97 
Raw Acc: , 0.192 , -0.25 , -0.949 , Grav: , -0.21 , 0.311 , 0.978 
Raw Acc: , 0.191 , -0.249 , -0.949 , Grav: , -0.191 , 0.245 , 0.976 
Raw Acc: , 0.191 , -0.249 , -0.949 , Grav: , -0.192 , 0.25 , 0.986 
Raw Acc: , 0.191 , -0.249 , -0.949 , Grav: , -0.205 , 0.256 , 0.974 
Raw Acc: , 0.191 , -0.249 , -0.949 , Grav: , -0.201 , 0.252 , 0.976 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.2 , 0.262 , 0.954 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.209 , 0.246 , 0.972 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.192 , 0.253 , 0.981 
Raw Acc: , 0.192 , -0.249 , -0.949 , Grav: , -0.195 , 0.256 , 0.975 
Raw Acc: , 0.192 , -0.251 , -0.949 , Grav: , -0.212 , 0.308 , 0.959 
Raw Acc: , 0.192 , -0.251 , -0.949 , Grav: , -0.195 , 0.249 , 0.981 
Raw Acc: , 0.192 , -0.25 , -0.949 , Grav: , -0.193 , 0.253 , 0.966 
Raw Acc: , 0.192 , -0.25 , -0.949 , Grav: , -0.207 , 0.252 , 0.951 
Raw Acc: , 0.192 , -0.25 , -0.949 , Grav: , -0.195 , 0.252 , 0.938 
Raw Acc: , 0.192 , -0.25 , -0.949 , Grav: , -0.192 , 0.251 , 0.971 
Raw Acc: , 0.192 , -0.25 , -0.949 , Grav: , -0.202 , 0.263 , 0.969 
Raw Acc: , 0.193 , -0.25 , -0.949 , Grav: , -0.21 , 0.265 , 0.99 
Raw Acc: , 0.193 , -0.252 , -0.948 , Grav: , -0.197 , 0.305 , 0.967 
